# Configuration.csv file for Capstone Project.
# Configuration Tse of the end-effector, 
# expressed as 13 variables separated by commas. The 13 variables are, in order
# r11, r12, r13, r21, r22, r23, r31, r32, r33, px, py, pz, gripper state
0.99996142,0.0,0.00878388,0.0,1.0,0.0,-0.00878388,0.0,0.99996142,0.16892014,0.0,0.50310591,0
0.99995998,0.0,0.00894679,0.0,1.0,0.0,-0.00894679,0.0,0.99995998,0.16897084,0.0,0.50316329,0
0.99995849,0.0,0.00911116,0.0,1.0,0.0,-0.00911116,0.0,0.99995849,0.16902201,0.0,0.50322118,0
0.99995697,0.0,0.00927699,0.0,1.0,0.0,-0.00927699,0.0,0.99995697,0.16907365,0.0,0.50327957,0
0.9999554,0.0,0.00944427,0.0,1.0,0.0,-0.00944427,0.0,0.9999554,0.16912575,0.0,0.50333846,0
0.99995379,0.0,0.00961301,0.0,1.0,0.0,-0.00961301,0.0,0.99995379,0.16917831,0.0,0.50339786,0
0.99995214,0.0,0.0097832,0.0,1.0,0.0,-0.0097832,0.0,0.99995214,0.16923133,0.0,0.50345776,0
0.99995045,0.0,0.00995484,0.0,1.0,0.0,-0.00995484,0.0,0.99995045,0.16928482,0.0,0.50351816,0
0.99994871,0.0,0.01012794,0.0,1.0,0.0,-0.01012794,0.0,0.99994871,0.16933877,0.0,0.50357906,0
0.99994693,0.0,0.01030248,0.0,1.0,0.0,-0.01030248,0.0,0.99994693,0.16939318,0.0,0.50364047,0
0.9999451,0.0,0.01047848,0.0,1.0,0.0,-0.01047848,0.0,0.9999451,0.16944806,0.0,0.50370238,0
0.99994322,0.0,0.01065593,0.0,1.0,0.0,-0.01065593,0.0,0.99994322,0.1695034,0.0,0.50376478,0
0.9999413,0.0,0.01083482,0.0,1.0,0.0,-0.01083482,0.0,0.9999413,0.1695592,0.0,0.50382769,0
0.99993933,0.0,0.01101516,0.0,1.0,0.0,-0.01101516,0.0,0.99993933,0.16961547,0.0,0.50389109,0
0.99993731,0.0,0.01119695,0.0,1.0,0.0,-0.01119695,0.0,0.99993731,0.16967219,0.0,0.50395499,0
0.99993524,0.0,0.01138018,0.0,1.0,0.0,-0.01138018,0.0,0.99993524,0.16972938,0.0,0.50401939,0
0.99993312,0.0,0.01156485,0.0,1.0,0.0,-0.01156485,0.0,0.99993312,0.16978704,0.0,0.50408429,0
0.99993096,0.0,0.01175096,0.0,1.0,0.0,-0.01175096,0.0,0.99993096,0.16984515,0.0,0.50414968,0
0.99992873,0.0,0.01193852,0.0,1.0,0.0,-0.01193852,0.0,0.99992873,0.16990373,0.0,0.50421557,0
0.99992646,0.0,0.01212752,0.0,1.0,0.0,-0.01212752,0.0,0.99992646,0.16996277,0.0,0.50428195,0
0.99992413,0.0,0.01231796,0.0,1.0,0.0,-0.01231796,0.0,0.99992413,0.17002227,0.0,0.50434883,0
0.99992175,0.0,0.01250983,0.0,1.0,0.0,-0.01250983,0.0,0.99992175,0.17008224,0.0,0.5044162,0
0.99991931,0.0,0.01270314,0.0,1.0,0.0,-0.01270314,0.0,0.99991931,0.17014266,0.0,0.50448406,0
0.99991682,0.0,0.01289789,0.0,1.0,0.0,-0.01289789,0.0,0.99991682,0.17020355,0.0,0.50455242,0
0.99991427,0.0,0.01309408,0.0,1.0,0.0,-0.01309408,0.0,0.99991427,0.17026491,0.0,0.50462127,0
0.99991166,0.0,0.01329169,0.0,1.0,0.0,-0.01329169,0.0,0.99991166,0.17032672,0.0,0.50469061,0
0.999909,0.0,0.01349074,0.0,1.0,0.0,-0.01349074,0.0,0.999909,0.170389,0.0,0.50476044,0
0.99990627,0.0,0.01369122,0.0,1.0,0.0,-0.01369122,0.0,0.99990627,0.17045173,0.0,0.50483076,0
0.99990349,0.0,0.01389314,0.0,1.0,0.0,-0.01389314,0.0,0.99990349,0.17051493,0.0,0.50490157,0
0.99990064,0.0,0.01409648,0.0,1.0,0.0,-0.01409648,0.0,0.99990064,0.1705786,0.0,0.50497287,0
0.99989773,0.0,0.01430125,0.0,1.0,0.0,-0.01430125,0.0,0.99989773,0.17064272,0.0,0.50504466,0
0.99989476,0.0,0.01450745,0.0,1.0,0.0,-0.01450745,0.0,0.99989476,0.17070731,0.0,0.50511693,0
0.99989173,0.0,0.01471507,0.0,1.0,0.0,-0.01471507,0.0,0.99989173,0.17077236,0.0,0.50518969,0
0.99988863,0.0,0.01492412,0.0,1.0,0.0,-0.01492412,0.0,0.99988863,0.17083787,0.0,0.50526294,0
0.99988547,0.0,0.01513459,0.0,1.0,0.0,-0.01513459,0.0,0.99988547,0.17090384,0.0,0.50533667,0
0.99988224,0.0,0.01534649,0.0,1.0,0.0,-0.01534649,0.0,0.99988224,0.17097028,0.0,0.50541089,0
0.99987894,0.0,0.01555981,0.0,1.0,0.0,-0.01555981,0.0,0.99987894,0.17103717,0.0,0.50548559,0
0.99987557,0.0,0.01577455,0.0,1.0,0.0,-0.01577455,0.0,0.99987557,0.17110453,0.0,0.50556077,0
0.99987214,0.0,0.01599071,0.0,1.0,0.0,-0.01599071,0.0,0.99987214,0.17117235,0.0,0.50563644,0
0.99986864,0.0,0.01620829,0.0,1.0,0.0,-0.01620829,0.0,0.99986864,0.17124064,0.0,0.50571259,0
0.99986506,0.0,0.01642729,0.0,1.0,0.0,-0.01642729,0.0,0.99986506,0.17130938,0.0,0.50578922,0
0.99986142,0.0,0.0166477,0.0,1.0,0.0,-0.0166477,0.0,0.99986142,0.17137859,0.0,0.50586633,0
0.9998577,0.0,0.01686953,0.0,1.0,0.0,-0.01686953,0.0,0.9998577,0.17144826,0.0,0.50594392,0
0.99985391,0.0,0.01709278,0.0,1.0,0.0,-0.01709278,0.0,0.99985391,0.17151839,0.0,0.50602199,0
0.99985004,0.0,0.01731743,0.0,1.0,0.0,-0.01731743,0.0,0.99985004,0.17158898,0.0,0.50610054,0
0.9998461,0.0,0.0175435,0.0,1.0,0.0,-0.0175435,0.0,0.9998461,0.17166003,0.0,0.50617957,0
0.99984208,0.0,0.01777098,0.0,1.0,0.0,-0.01777098,0.0,0.99984208,0.17173155,0.0,0.50625908,0
0.99983799,0.0,0.01799988,0.0,1.0,0.0,-0.01799988,0.0,0.99983799,0.17180353,0.0,0.50633906,0
0.99983382,0.0,0.01823018,0.0,1.0,0.0,-0.01823018,0.0,0.99983382,0.17187597,0.0,0.50641952,0
0.99982956,0.0,0.01846189,0.0,1.0,0.0,-0.01846189,0.0,0.99982956,0.17194887,0.0,0.50650045,0
0.99982523,0.0,0.018695,0.0,1.0,0.0,-0.018695,0.0,0.99982523,0.17202224,0.0,0.50658186,0
0.99982082,0.0,0.01892953,0.0,1.0,0.0,-0.01892953,0.0,0.99982082,0.17209606,0.0,0.50666374,0
0.99981633,0.0,0.01916545,0.0,1.0,0.0,-0.01916545,0.0,0.99981633,0.17217035,0.0,0.5067461,0
0.99981175,0.0,0.01940278,0.0,1.0,0.0,-0.01940278,0.0,0.99981175,0.1722451,0.0,0.50682893,0
0.99980709,0.0,0.01964152,0.0,1.0,0.0,-0.01964152,0.0,0.99980709,0.17232031,0.0,0.50691223,0
0.99980234,0.0,0.01988165,0.0,1.0,0.0,-0.01988165,0.0,0.99980234,0.17239599,0.0,0.506996,0
0.99979751,0.0,0.02012319,0.0,1.0,0.0,-0.02012319,0.0,0.99979751,0.17247212,0.0,0.50708025,0
0.99979259,0.0,0.02036613,0.0,1.0,0.0,-0.02036613,0.0,0.99979259,0.17254872,0.0,0.50716496,0
0.99978758,0.0,0.02061046,0.0,1.0,0.0,-0.02061046,0.0,0.99978758,0.17262578,0.0,0.50725014,0
0.99978249,0.0,0.02085619,0.0,1.0,0.0,-0.02085619,0.0,0.99978249,0.1727033,0.0,0.50733579,0
0.9997773,0.0,0.02110332,0.0,1.0,0.0,-0.02110332,0.0,0.9997773,0.17278129,0.0,0.50742191,0
0.99977202,0.0,0.02135184,0.0,1.0,0.0,-0.02135184,0.0,0.99977202,0.17285973,0.0,0.5075085,0
0.99976665,0.0,0.02160176,0.0,1.0,0.0,-0.02160176,0.0,0.99976665,0.17293864,0.0,0.50759555,0
0.99976119,0.0,0.02185307,0.0,1.0,0.0,-0.02185307,0.0,0.99976119,0.17301801,0.0,0.50768307,0
0.99975564,0.0,0.02210577,0.0,1.0,0.0,-0.02210577,0.0,0.99975564,0.17309785,0.0,0.50777106,0
0.99974999,0.0,0.02235986,0.0,1.0,0.0,-0.02235986,0.0,0.99974999,0.17317814,0.0,0.5078595,0
0.99974424,0.0,0.02261535,0.0,1.0,0.0,-0.02261535,0.0,0.99974424,0.1732589,0.0,0.50794841,0
0.9997384,0.0,0.02287222,0.0,1.0,0.0,-0.02287222,0.0,0.9997384,0.17334012,0.0,0.50803779,0
0.99973245,0.0,0.02313048,0.0,1.0,0.0,-0.02313048,0.0,0.99973245,0.1734218,0.0,0.50812763,0
0.99972641,0.0,0.02339012,0.0,1.0,0.0,-0.02339012,0.0,0.99972641,0.17350395,0.0,0.50821793,0
0.99972027,0.0,0.02365115,0.0,1.0,0.0,-0.02365115,0.0,0.99972027,0.17358655,0.0,0.50830868,0
0.99971403,0.0,0.02391357,0.0,1.0,0.0,-0.02391357,0.0,0.99971403,0.17366962,0.0,0.5083999,0
0.99970768,0.0,0.02417736,0.0,1.0,0.0,-0.02417736,0.0,0.99970768,0.17375315,0.0,0.50849158,0
0.99970124,0.0,0.02444254,0.0,1.0,0.0,-0.02444254,0.0,0.99970124,0.17383715,0.0,0.50858372,0
0.99969468,0.0,0.02470911,0.0,1.0,0.0,-0.02470911,0.0,0.99969468,0.17392161,0.0,0.50867632,0
0.99968802,0.0,0.02497705,0.0,1.0,0.0,-0.02497705,0.0,0.99968802,0.17400653,0.0,0.50876937,0
0.99968126,0.0,0.02524637,0.0,1.0,0.0,-0.02524637,0.0,0.99968126,0.17409191,0.0,0.50886288,0
0.99967439,0.0,0.02551706,0.0,1.0,0.0,-0.02551706,0.0,0.99967439,0.17417775,0.0,0.50895684,0
0.9996674,0.0,0.02578914,0.0,1.0,0.0,-0.02578914,0.0,0.9996674,0.17426406,0.0,0.50905126,0
0.99966031,0.0,0.02606259,0.0,1.0,0.0,-0.02606259,0.0,0.99966031,0.17435083,0.0,0.50914614,0
0.99965311,0.0,0.02633741,0.0,1.0,0.0,-0.02633741,0.0,0.99965311,0.17443807,0.0,0.50924147,0
0.9996458,0.0,0.02661361,0.0,1.0,0.0,-0.02661361,0.0,0.9996458,0.17452576,0.0,0.50933725,0
0.99963837,0.0,0.02689118,0.0,1.0,0.0,-0.02689118,0.0,0.99963837,0.17461392,0.0,0.50943348,0
0.99963082,0.0,0.02717012,0.0,1.0,0.0,-0.02717012,0.0,0.99963082,0.17470255,0.0,0.50953017,0
0.99962317,0.0,0.02745043,0.0,1.0,0.0,-0.02745043,0.0,0.99962317,0.17479163,0.0,0.5096273,0
0.99961539,0.0,0.02773211,0.0,1.0,0.0,-0.02773211,0.0,0.99961539,0.17488118,0.0,0.50972489,0
0.9996075,0.0,0.02801516,0.0,1.0,0.0,-0.02801516,0.0,0.9996075,0.1749712,0.0,0.50982292,0
0.99959949,0.0,0.02829958,0.0,1.0,0.0,-0.02829958,0.0,0.99959949,0.17506167,0.0,0.50992141,0
0.99959136,0.0,0.02858536,0.0,1.0,0.0,-0.02858536,0.0,0.99959136,0.17515261,0.0,0.51002034,0
0.9995831,0.0,0.0288725,0.0,1.0,0.0,-0.0288725,0.0,0.9995831,0.17524401,0.0,0.51011972,0
0.99957473,0.0,0.02916101,0.0,1.0,0.0,-0.02916101,0.0,0.99957473,0.17533588,0.0,0.51021954,0
0.99956623,0.0,0.02945088,0.0,1.0,0.0,-0.02945088,0.0,0.99956623,0.17542821,0.0,0.51031981,0
0.99955761,0.0,0.02974211,0.0,1.0,0.0,-0.02974211,0.0,0.99955761,0.175521,0.0,0.51042052,0
0.99954886,0.0,0.0300347,0.0,1.0,0.0,-0.0300347,0.0,0.99954886,0.17561426,0.0,0.51052168,0
0.99953998,0.0,0.03032865,0.0,1.0,0.0,-0.03032865,0.0,0.99953998,0.17570798,0.0,0.51062328,0
0.99953098,0.0,0.03062396,0.0,1.0,0.0,-0.03062396,0.0,0.99953098,0.17580217,0.0,0.51072533,0
0.99952184,0.0,0.03092063,0.0,1.0,0.0,-0.03092063,0.0,0.99952184,0.17589682,0.0,0.51082781,0
0.99951258,0.0,0.03121865,0.0,1.0,0.0,-0.03121865,0.0,0.99951258,0.17599193,0.0,0.51093074,0
0.99950318,0.0,0.03151802,0.0,1.0,0.0,-0.03151802,0.0,0.99950318,0.17608751,0.0,0.51103411,0
0.99949366,0.0,0.03181875,0.0,1.0,0.0,-0.03181875,0.0,0.99949366,0.17618355,0.0,0.51113792,0
0.99948399,0.0,0.03212084,0.0,1.0,0.0,-0.03212084,0.0,0.99948399,0.17628005,0.0,0.51124216,0
0.9994742,0.0,0.03242427,0.0,1.0,0.0,-0.03242427,0.0,0.9994742,0.17637702,0.0,0.51134684,0
0.99946426,0.0,0.03272905,0.0,1.0,0.0,-0.03272905,0.0,0.99946426,0.17647446,0.0,0.51145196,0
0.99945419,0.0,0.03303518,0.0,1.0,0.0,-0.03303518,0.0,0.99945419,0.17657235,0.0,0.51155752,0
0.99944398,0.0,0.03334266,0.0,1.0,0.0,-0.03334266,0.0,0.99944398,0.17667072,0.0,0.51166351,0
0.99943363,0.0,0.03365149,0.0,1.0,0.0,-0.03365149,0.0,0.99943363,0.17676955,0.0,0.51176994,0
0.99942314,0.0,0.03396166,0.0,1.0,0.0,-0.03396166,0.0,0.99942314,0.17686884,0.0,0.5118768,0
0.9994125,0.0,0.03427318,0.0,1.0,0.0,-0.03427318,0.0,0.9994125,0.17696859,0.0,0.5119841,0
0.99940172,0.0,0.03458604,0.0,1.0,0.0,-0.03458604,0.0,0.99940172,0.17706882,0.0,0.51209183,0
